Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Matt Shoemaker,Toronto Blue Jays,SP,108,89.2,39.2,0.241,0.334,37,1078.6311584553928
David Hale,New York Yankees,RP,153,86.2,26.6,0.288,0.276,33,1078.6311584553928
Luis Castillo,Cincinnati Reds,SP,708,86,32.7,0.278,0.273,31,1078.6311584553928
Brandon Woodruff,Milwaukee Brewers,SP,480,85.7,30.3,0.29,0.29,19,1078.6311584553928
Josh Taylor,Boston Red Sox,RP,183,86.6,29,0.282,0.278,47,1077.6311584553928
James Paxton,New York Yankees,SP,585,88.9,39.4,0.319,0.296,88,1075.6311584553928
Yu Darvish,Chicago Cubs,SP,651,88.2,38.5,0.304,0.305,37,1075.6311584553928
Sean Manaea,Oakland Athletics,SP,43,89.1,34.8,0.176,0.276,75,1074.6311584553928
Ryan Helsley,St. Louis Cardinals,RP,121,87.9,39.5,0.25,0.275,46,1074.6311584553928
Frankie Montas,Oakland Athletics,SP,371,87.2,34.9,0.28,0.277,43,1074.6311584553928
Brad Hand,Cleveland Indians,RP,239,87.7,37.5,0.299,0.285,-40,1073.6311584553928
Roberto Osuna,Houston Astros,RP,224,86.2,30.1,0.249,0.26,18,1073.6311584553928
Joey Lucchesi,San Diego Padres,SP,622,87.6,36.9,0.291,0.302,57,1072.6311584553928
Anthony Bass,Seattle Mariners,RP,166,87.8,36.9,0.259,0.32,26,1072.6311584553928
Daniel Hudson,Washington Nationals,RP,268,89.2,42.3,0.294,0.315,-5,1072.6311584553928
Dakota Hudson,St. Louis Cardinals,SP,666,88.7,38.9,0.322,0.339,56,1071.6311584553928
Joakim Soria,Oakland Athletics,RP,261,87.4,35.8,0.276,0.296,19,1071.6311584553928
Rowan Wick,Chicago Cubs,RP,113,86.5,28.2,0.233,0.261,56,1070.6311584553928
Chris Martin,Atlanta Braves,RP,202,88.3,38.8,0.296,0.292,-14,1069.6311584553928
John Brebbia,St. Louis Cardinals,SP,271,88,38,0.263,0.267,26,1069.6311584553928
