last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Beaty, Matt,607461,2019,228,185,.288,.289,-.001,.491,.435,.056,.349,.334,.015
Holt, Brock,571788,2019,228,160,.323,.277,.046,.449,.378,.071,.364,.331,.033
Beckham, Gordon,493596,2019,226,144,.220,.224,-.004,.373,.377,-.004,.282,.290,-.008
Vogt, Stephen,519390,2019,226,157,.268,.247,.021,.507,.469,.038,.347,.331,.016
Martin, Russell,431145,2019,226,138,.218,.223,-.005,.335,.349,-.014,.301,.311,-.010
Broxton, Keon,542979,2019,225,103,.169,.165,.004,.279,.275,.004,.234,.234,.000
Adrianza, Ehire,501303,2019,223,160,.283,.269,.014,.429,.388,.041,.342,.332,.010
Flores, Wilmer,527038,2019,223,185,.319,.281,.038,.488,.429,.059,.363,.329,.034
Mejia, Francisco,642336,2019,222,157,.263,.230,.033,.439,.376,.063,.321,.289,.032
Mercer, Jordy,474568,2019,221,164,.267,.265,.002,.424,.440,-.016,.310,.319,-.009
Prado, Martin,445988,2019,220,176,.236,.248,-.012,.288,.312,-.024,.241,.262,-.021
Maybin, Cameron,457727,2019,220,137,.291,.254,.037,.490,.438,.052,.367,.338,.029
Luplow, Jordan,656669,2019,219,142,.273,.242,.031,.510,.429,.081,.365,.329,.036
Cordell, Ryan,641477,2019,218,137,.226,.209,.017,.354,.335,.019,.276,.264,.012
Naylor, Josh,647304,2019,216,153,.258,.242,.016,.419,.372,.047,.314,.295,.019
Russell, Addison,608365,2019,216,144,.234,.214,.020,.391,.334,.057,.299,.279,.020
Caratini, Victor,605170,2019,216,142,.270,.266,.004,.460,.445,.015,.351,.353,-.002
Frazier, Clint,640449,2019,215,140,.276,.252,.024,.500,.447,.053,.345,.322,.023
Locastro, Tim,641796,2019,215,147,.254,.238,.016,.343,.300,.043,.321,.304,.017
Castillo, Welington,456078,2019,214,130,.199,.213,-.014,.367,.399,-.032,.272,.294,-.022
Heredia, Guillermo,628338,2019,211,136,.222,.250,-.028,.346,.343,.003,.289,.307,-.018
Allen, Greg,656185,2019,211,151,.233,.240,-.007,.370,.358,.012,.289,.296,-.007
Robertson, Daniel,621002,2019,209,128,.204,.203,.001,.282,.277,.005,.273,.273,.000
VanMeter, Josh,642165,2019,205,139,.261,.255,.006,.433,.408,.025,.337,.329,.008
Lugo, Dawel,608475,2019,205,154,.232,.250,-.018,.351,.350,.001,.260,.277,-.017
Solano, Donovan,456781,2019,204,152,.339,.323,.016,.464,.458,.006,.356,.352,.004
Morales, Kendrys,434778,2019,201,145,.194,.273,-.079,.253,.435,-.182,.265,.366,-.101
Romine, Austin,519222,2019,200,151,.267,.250,.017,.408,.395,.013,.299,.290,.009
Perez, Hernan,541650,2019,199,136,.241,.218,.023,.369,.316,.053,.278,.254,.024
Berti, Jon,542932,2019,197,126,.264,.270,-.006,.431,.403,.028,.336,.335,.001
Hechavarria, Adeiny,588751,2019,196,138,.221,.219,.002,.381,.349,.032,.283,.277,.006
Smith, Dominic,642086,2019,196,132,.278,.240,.038,.506,.420,.086,.365,.323,.042
Reyes, Victor,622682,2019,195,143,.315,.293,.022,.429,.381,.048,.334,.311,.023
Casali, Curt,592200,2019,193,125,.254,.238,.016,.426,.391,.035,.324,.312,.012
Osuna, Jose,591741,2019,190,144,.269,.257,.012,.526,.455,.071,.349,.329,.020
Wendle, Joey,621563,2019,188,139,.214,.235,-.021,.310,.308,.002,.262,.275,-.013
Brinson, Lewis,621446,2019,188,120,.178,.214,-.036,.241,.310,-.069,.208,.251,-.043
Healy, Ryon,592387,2019,187,133,.237,.234,.003,.456,.427,.029,.312,.316,-.004
Vargas, Ildemaro,545121,2019,187,157,.260,.268,-.008,.384,.362,.022,.292,.293,-.001
Descalso, Daniel,518614,2019,186,111,.180,.194,-.014,.261,.288,-.027,.248,.268,-.020
Kang, Jung Ho,628356,2019,185,113,.169,.212,-.043,.395,.415,-.020,.260,.293,-.033
Nola, Austin,543592,2019,185,127,.269,.223,.046,.455,.337,.118,.334,.279,.055
Cave, Jake,595909,2019,184,101,.255,.254,.001,.453,.438,.015,.343,.342,.001
Kiner-Falefa, Isiah,643396,2019,184,125,.242,.227,.015,.339,.297,.042,.287,.270,.017
Jay, Jon,445055,2019,182,141,.267,.247,.020,.315,.318,-.003,.277,.271,.006
Joyce, Matt,459964,2019,181,116,.281,.255,.026,.438,.422,.016,.363,.351,.012
Lamb, Jake,571875,2019,180,105,.200,.206,-.006,.367,.370,-.003,.306,.317,-.011
Ervin, Phillip,640447,2019,180,121,.297,.241,.056,.509,.372,.137,.366,.298,.068
Farmer, Kyle,571657,2019,177,112,.238,.224,.014,.421,.380,.041,.301,.284,.017
Nunez, Eduardo,456488,2019,174,143,.228,.255,-.027,.305,.318,-.013,.236,.258,-.022
Engel, Adam,641553,2019,174,105,.231,.222,.009,.340,.305,.035,.286,.270,.016
Greiner, Grayson,606988,2019,173,102,.177,.172,.005,.291,.272,.019,.236,.231,.005
Nimmo, Brandon,607043,2019,173,89,.207,.216,-.009,.356,.328,.028,.324,.327,-.003
Diaz, Aledmys,649557,2019,172,135,.267,.259,.008,.467,.397,.070,.330,.319,.011
Wieters, Matt,446308,2019,172,114,.215,.215,.000,.430,.391,.039,.295,.286,.009
Sisco, Chance,642082,2019,171,98,.221,.224,-.003,.423,.417,.006,.324,.326,-.002
Munoz, Yairo,622168,2019,171,131,.268,.209,.059,.360,.288,.072,.281,.231,.050
Avila, Alex,488671,2019,168,85,.217,.236,-.019,.457,.495,-.038,.340,.364,-.024
Freese, David,501896,2019,167,104,.308,.273,.035,.622,.515,.107,.429,.385,.044
Polanco, Gregory,570256,2019,167,104,.242,.226,.016,.425,.391,.034,.309,.294,.015
Leon, Sandy,506702,2019,166,113,.181,.177,.004,.295,.242,.053,.236,.227,.009
Dickerson, Alex,543105,2019,166,115,.289,.270,.019,.526,.469,.057,.367,.344,.023
Stallings, Jacob,607732,2019,166,116,.264,.252,.012,.372,.399,-.027,.302,.311,-.009
