Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Alex Colome,Chicago White Sox,RP,208,90.7,40.8,0.247,0.326,-10,1077
Mike Fiers,Oakland Athletics,SP,689,87.3,37.5,0.299,0.327,-37,1077
Clayton Kershaw,Los Angeles Dodgers,SP,609,87.4,33.2,0.28,0.294,-35,1077
Keone Kela,Pittsburgh Pirates,RP,96,88.6,30.5,0.28,0.277,34,1075
Nick Anderson,Tampa Bay Rays,RP,229,90.2,42.7,0.269,0.257,66,1074
John Brebbia,St. Louis Cardinals,SP,268,87.9,37.5,0.257,0.266,34,1073
Justin Wilson,New York Mets,RP,129,84.1,28,0.291,0.279,37,1072
Tony Sipp,Washington Nationals,RP,92,88.1,34.4,0.284,0.34,-12,1072
Lance Lynn,Texas Rangers,SP,769,87.1,33,0.301,0.291,-17,1070
Will Smith,San Francisco Giants,RP,232,88.6,39.5,0.268,0.263,-13,1070
John Gant,St. Louis Cardinals,RP,245,86.6,30.1,0.269,0.282,27,1070
Wander Suero,Washington Nationals,RP,256,88.8,34.6,0.285,0.308,39,1069
Mychal Givens,Baltimore Orioles,RP,217,88.7,38.8,0.29,0.29,12,1068
